Year,ClinicalDomain,Category,ReportCount,PctOfYearReports
2021,local_complication,calcification,51,0.1469
2021,local_complication,capsular_contracture,13684,39.4272
2021,local_complication,wrinkling_or_rippling,377,1.0862
2021,lymphatic_system,lymphadenopathy,528,1.5213
2021,musculoskeletal_system,arthralgia,75,0.2161
2021,musculoskeletal_system,muscle_weakness_atrophy,26,0.0749
2021,musculoskeletal_system,myalgia,10,0.0288
2021,neoplasm,anaplastic_large_cell_lymphoma,11,0.0317
2021,neoplasm,bia_alcl,120,0.3458
2021,neoplasm,breast_cancer,9,0.0259
2021,neoplasm,cancer_unspecified,74,0.2132
2021,neoplasm,lymphoma_unspecified,225,0.6483
2021,nervous_system,burning_sensation,29,0.0836
2021,nervous_system,cognitive_changes,67,0.193
2021,nervous_system,confusion_disorientation,15,0.0432
2021,nervous_system,dizziness,29,0.0836
2021,nervous_system,headache,72,0.2075
2021,nervous_system,memory_loss_impairment,45,0.1297
2021,nervous_system,neurological_deficit,2,0.0058
2021,nervous_system,numbness,35,0.1008
2021,nervous_system,paresthesia,156,0.4495
2021,nervous_system,sleep_dysfunction,59,0.17
2021,nervous_system,vertigo,20,0.0576
2021,patient_symptom,chest_pain,28,0.0807
2021,patient_symptom,pain,1170,3.3711
2021,psychological_condition,anxiety,81,0.2334
2021,psychological_condition,depression,56,0.1614
2021,psychological_condition,emotional_changes,40,0.1153
2021,respiratory_system,dyspnea,41,0.1181
2021,skin_subcutaneous_tissue,hair_loss,64,0.1844
2021,skin_subcutaneous_tissue,itching,22,0.0634
2021,skin_subcutaneous_tissue,rash,55,0.1585
2021,skin_subcutaneous_tissue,skin_inflammation_irritation,58,0.1671
2021,structural_aesthetic_outcome,deformity_disfigurement,6058,17.4547
2021,systemic_condition,autoimmune_disorder,342,0.9854
2021,systemic_condition,autoimmune_reaction,1,0.0029
2021,systemic_symptom,fatigue,135,0.389
2021,systemic_symptom,weight_changes,51,0.1469
2021,tissue_injury,erosion,27,0.0778
2021,tissue_injury,pocket_erosion,40,0.1153
2021,tissue_injury,tissue_necrosis,62,0.1786
2021,traumatic_injury,crushing_injury,178,0.5129
2021,wound_healing,impaired_wound_healing,103,0.2968
2021,wound_healing,scar_tissue,32,0.0922
2021,wound_healing,wound_dehiscence,75,0.2161
2021,wound_or_breast_finding,fluid_discharge,38,0.1095
2022,biocompatibility,device_triggered_rejection,11376,25.5882
2022,biocompatibility,hypersensitivity_allergic_reaction,46,0.1035
2022,biocompatibility,patient_device_incompatibility,270,0.6073
2022,bleeding_complication,hematoma,156,0.3509
